Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
10/1/2023 07:45:33;207;42;21;10;4;31;132;61;18;46;8;3
10/1/2023 07:45:39;115;34;22;11;4;23;75;41;19;33;8;3
10/1/2023 07:45:45;128;24;9;6;4;18;85;41;9;30;5;3
10/1/2023 07:45:51;22;22;15;7;4;14;20;20;13;20;6;3
10/1/2023 07:45:57;70;45;20;8;4;36;63;51;17;50;6;3
10/1/2023 07:46:03;57;38;22;10;4;27;51;42;20;41;8;3
10/1/2023 07:46:09;30;28;16;6;4;21;27;25;13;26;5;3
10/1/2023 07:46:15;39;37;23;12;4;25;38;36;19;38;9;3
10/1/2023 07:46:21;83;32;13;7;4;25;68;46;12;40;6;3
10/1/2023 07:46:27;50;31;18;8;4;22;44;36;16;33;6;3
10/1/2023 07:46:33;683;33;20;8;3;24;289;45;17;34;6;3
10/1/2023 07:46:39;52;37;20;10;4;27;46;40;17;41;8;3
10/1/2023 07:46:45;32;15;11;6;3;9;507;15;9;13;4;2
10/1/2023 07:46:51;652;29;17;9;4;19;284;50;14;31;7;3
10/1/2023 07:46:57;26;26;18;8;4;18;24;24;15;24;6;3
10/1/2023 07:47:03;40;37;24;11;4;25;37;35;20;37;9;3
10/1/2023 07:47:09;88;28;16;7;4;20;64;39;13;29;6;3
10/1/2023 07:47:15;2101;34;21;10;4;24;1757;77;17;35;8;3
10/1/2023 07:47:21;67;45;23;11;4;34;59;49;20;49;8;3
10/1/2023 07:47:27;75;33;23;9;3;23;55;38;19;30;7;3
10/1/2023 07:47:33;51;47;27;11;4;35;50;47;23;50;9;3
10/1/2023 07:47:39;24;24;20;10;3;14;21;21;16;21;8;3
10/1/2023 07:47:45;45;43;24;9;4;33;45;43;21;45;7;3
10/1/2023 07:47:51;137;38;24;11;4;26;89;48;19;37;9;3
10/1/2023 07:47:57;37;30;20;10;4;20;31;28;16;28;8;3
10/1/2023 07:48:03;119;40;34;16;4;24;74;40;26;32;12;3
10/1/2023 07:48:09;37;34;20;10;4;23;35;32;16;34;8;3
10/1/2023 07:48:15;40;34;21;10;4;23;37;34;17;34;8;3
10/1/2023 07:48:21;65;40;23;12;4;28;54;44;19;42;9;3
10/1/2023 07:48:27;239;29;17;10;4;19;134;48;14;30;7;3
10/1/2023 07:48:33;46;33;18;8;3;25;41;35;15;36;6;3
10/1/2023 07:48:39;118;33;19;8;4;24;77;40;15;33;6;3
10/1/2023 07:48:45;41;34;22;11;4;23;37;34;18;34;8;3
10/1/2023 07:48:51;71;27;15;8;4;19;57;38;14;31;6;3
10/1/2023 07:48:57;29;28;16;8;3;19;30;29;14;30;6;3
10/1/2023 07:49:03;48;35;19;9;4;25;41;35;15;36;7;3
10/1/2023 07:49:09;19;19;12;9;4;9;20;19;10;20;7;3
10/1/2023 07:49:15;65;23;14;8;4;14;48;30;12;23;6;3
10/1/2023 07:49:21;44;26;15;8;4;17;37;29;13;27;6;3
10/1/2023 07:49:27;21;20;13;6;4;14;20;20;12;20;4;3
10/1/2023 07:49:33;24;24;18;9;3;14;21;21;14;21;7;3
10/1/2023 07:49:39;1197;28;15;6;3;21;403;40;13;30;5;2
10/1/2023 07:49:45;540;32;18;9;4;23;223;36;14;33;7;3
10/1/2023 07:49:51;317;34;19;9;3;24;150;40;16;35;7;3
10/1/2023 07:49:57;20;20;15;8;4;12;19;19;13;19;6;3
10/1/2023 07:50:03;14725;7;7;7;4;0;19544;101;6;6;5;3
10/1/2023 07:50:09;35;34;24;11;3;23;31;31;19;31;8;2
10/1/2023 07:50:12;44;31;19;11;4;19;37;31;15;31;9;3
