Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
10-01-2023 7:56;43;36;24;12;4;24;38;35;19;35;9;3
10-01-2023 7:56;22;22;16;8;4;13;21;20;13;21;6;3
10-01-2023 7:56;33;31;18;9;4;21;34;32;16;33;7;3
10-01-2023 7:57;31;30;21;10;4;20;29;28;17;29;8;3
10-01-2023 7:57;104;25;19;10;4;15;64;30;15;22;7;3
10-01-2023 7:57;39;37;26;13;4;23;36;34;21;36;10;3
10-01-2023 7:57;745;38;25;12;3;26;331;53;19;34;9;3
10-01-2023 7:57;1497;52;37;16;4;35;532;63;29;47;12;3
10-01-2023 7:57;63;42;24;11;4;31;56;47;20;45;8;3
10-01-2023 7:57;52;43;26;13;4;30;47;42;21;44;10;3
10-01-2023 7:57;35;33;21;10;4;22;32;31;18;32;8;3
10-01-2023 7:57;35;34;21;10;4;24;34;33;18;34;7;3
10-01-2023 7:57;81;37;23;9;4;27;62;44;19;37;7;3
10-01-2023 7:58;47;40;24;11;4;28;43;39;20;40;9;3
10-01-2023 7:58;52;33;19;8;3;25;46;38;17;36;6;3
