Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
10/1/2023 08:02:23;268;62;31;13;7;48;160;77;27;70;10;5
10/1/2023 08:03:23;133;68;35;14;5;53;105;77;30;75;11;4
10/1/2023 08:04:23;308;69;37;16;5;53;164;79;31;74;12;4
10/1/2023 08:05:23;171;63;32;13;5;49;116;73;27;69;10;4
10/1/2023 08:06:23;86;52;26;11;4;40;73;57;23;57;8;3
10/1/2023 08:07:23;114;50;27;11;4;39;82;55;23;54;8;3
10/1/2023 08:08:23;112;53;28;11;4;42;89;63;24;58;8;3
10/1/2023 08:09:23;89;54;28;11;4;42;76;60;24;58;9;3
10/1/2023 08:10:23;103;63;32;13;4;49;89;71;28;70;10;3
10/1/2023 08:11:23;104;61;31;12;4;49;89;70;26;68;9;3
10/1/2023 08:12:23;241;61;31;13;5;48;138;74;27;67;10;4
10/1/2023 08:13:23;293;60;33;14;5;46;152;70;28;65;11;4
10/1/2023 08:14:23;111;54;28;11;4;42;84;60;24;59;9;3
10/1/2023 08:15:23;240;56;26;10;4;46;242;72;23;65;8;3
10/1/2023 08:16:23;80;53;29;12;4;40;69;57;25;56;9;3
10/1/2023 08:17:23;209;49;24;11;4;38;122;59;21;55;8;3
10/1/2023 08:18:23;141;62;29;11;4;50;107;73;25;70;9;4
10/1/2023 08:19:23;292;59;29;12;5;46;161;71;26;66;9;4
10/1/2023 08:20:23;159;65;32;13;4;52;112;74;28;72;10;3
10/1/2023 08:21:23;193;72;35;14;5;57;134;85;30;80;11;4
10/1/2023 08:22:23;165;74;37;15;5;59;129;90;32;82;11;4
10/1/2023 08:23:23;271;66;31;13;4;53;200;79;27;74;10;3
10/1/2023 08:24:23;122;61;30;12;4;49;146;71;26;68;9;3
10/1/2023 08:25:23;114;54;27;11;4;42;90;64;24;60;9;3
10/1/2023 08:26:23;93;59;30;12;4;47;83;67;26;66;9;3
10/1/2023 08:27:23;130;67;34;14;4;53;104;77;29;74;11;3
10/1/2023 08:28:23;69;50;28;13;5;37;110;53;23;53;10;4
10/1/2023 08:29:23;96;45;24;11;4;34;73;51;21;49;8;3
10/1/2023 08:30:23;67;44;27;12;4;32;56;45;22;44;9;3
10/1/2023 08:31:23;135;56;28;12;4;43;98;65;24;61;9;3
10/1/2023 08:32:23;98;45;22;10;4;34;76;53;19;51;8;3
10/1/2023 08:33:23;116;48;27;11;4;37;79;52;23;52;8;3
10/1/2023 08:34:23;293;44;24;10;4;33;127;48;20;46;8;3
10/1/2023 08:35:23;81;43;21;9;4;33;68;51;18;48;7;3
10/1/2023 08:36:23;66;40;23;11;5;29;56;44;19;42;8;4
10/1/2023 08:37:23;117;43;25;11;4;32;79;49;21;45;8;3
10/1/2023 08:38:23;119;40;24;10;4;29;83;49;20;42;8;3
10/1/2023 08:39:23;169;43;23;10;4;33;89;48;19;46;8;3
10/1/2023 08:40:23;164;41;23;11;4;30;85;45;20;44;8;3
10/1/2023 08:41:23;105;40;21;9;4;31;75;47;18;44;7;3
10/1/2023 08:42:23;88;48;28;14;5;34;70;53;23;49;10;4
10/1/2023 08:43:23;210;44;23;10;5;33;103;48;20;48;8;4
10/1/2023 08:44:23;128;54;29;15;9;39;93;62;25;59;12;8
10/1/2023 08:45:23;105;53;29;15;9;38;83;61;25;58;12;7
10/1/2023 08:46:23;130;59;34;19;12;40;143;64;28;63;15;9
10/1/2023 08:47:23;89;45;25;11;5;33;69;50;21;48;9;4
10/1/2023 08:48:23;108;53;31;13;4;40;83;60;26;56;10;3
10/1/2023 08:49:23;126;42;23;10;4;31;80;47;20;44;8;3
10/1/2023 08:50:23;108;57;28;12;4;45;88;65;24;64;9;3
10/1/2023 08:51:23;108;53;27;11;4;42;83;60;23;59;8;3
10/1/2023 08:52:23;268;52;27;12;5;40;141;63;23;56;9;4
10/1/2023 08:53:23;88;54;27;12;5;42;76;61;23;60;9;4
10/1/2023 08:54:23;207;55;30;13;4;42;111;59;26;59;10;3
10/1/2023 08:55:23;70;51;25;11;4;40;65;56;21;57;8;3
10/1/2023 08:56:23;97;51;27;12;5;38;79;59;23;55;9;4
10/1/2023 08:57:23;227;52;26;12;5;40;126;59;22;58;9;4
10/1/2023 08:58:23;88;44;24;10;4;33;70;51;20;47;8;3
10/1/2023 08:59:23;133;47;26;11;4;35;90;55;22;50;9;3
10/1/2023 09:00:23;54;39;22;10;4;28;48;41;19;41;8;3
10/1/2023 09:01:23;57;41;24;10;4;30;51;44;20;43;8;4
10/1/2023 09:02:23;111;38;20;9;4;29;76;46;17;42;7;3
10/1/2023 09:03:23;65;41;23;10;4;30;55;44;19;43;8;3
10/1/2023 09:04:23;61;43;24;11;4;32;55;47;20;46;8;3
10/1/2023 09:05:23;107;47;23;9;4;37;83;57;20;52;7;3
10/1/2023 09:06:23;100;51;24;9;4;41;83;62;21;58;7;3
10/1/2023 09:07:23;239;63;31;13;4;50;136;74;27;71;10;3
10/1/2023 09:08:23;153;51;27;13;5;38;97;56;23;55;10;4
10/1/2023 09:09:23;83;45;24;10;4;34;68;51;21;48;8;3
10/1/2023 09:10:23;221;45;24;10;4;34;110;50;20;48;8;3
10/1/2023 09:11:23;143;51;23;10;4;41;98;61;21;59;7;3
10/1/2023 09:12:23;145;60;31;13;4;47;101;67;26;66;10;3
10/1/2023 09:13:23;125;49;23;10;4;38;90;58;20;55;8;3
10/1/2023 09:14:23;87;42;22;9;4;33;69;49;19;46;7;3
10/1/2023 09:15:23;66;41;22;9;4;32;57;45;18;44;7;3
10/1/2023 09:16:23;137;42;18;8;4;34;90;52;17;50;6;3
10/1/2023 09:17:23;162;40;20;9;4;31;84;45;17;45;7;3
10/1/2023 09:18:23;106;43;22;9;4;33;75;49;19;46;7;3
10/1/2023 09:19:23;45;33;19;9;4;24;41;35;16;35;7;4
10/1/2023 09:20:23;58;41;22;9;4;32;52;44;19;44;7;3
10/1/2023 09:21:23;56;37;20;9;4;28;50;41;17;40;7;3
10/1/2023 09:22:23;141;42;22;12;8;29;89;49;19;47;10;6
10/1/2023 09:23:23;183;33;18;9;4;24;92;41;15;36;7;3
10/1/2023 09:24:23;201;46;26;12;6;33;106;53;22;49;9;5
10/1/2023 09:25:23;82;33;20;8;3;24;56;36;16;34;6;3
10/1/2023 09:26:23;88;29;16;7;3;21;102;31;13;31;5;3
10/1/2023 09:27:23;57;33;17;8;4;24;47;36;15;35;6;3
10/1/2023 09:28:23;75;28;15;7;3;21;53;33;13;31;6;3
10/1/2023 09:29:23;37;22;14;7;3;15;30;23;11;22;5;2
10/1/2023 09:30:23;84;32;14;7;3;24;60;38;12;36;5;2
10/1/2023 09:31:23;164;30;17;8;3;21;79;35;14;32;6;2
10/1/2023 09:32:23;59;32;15;7;3;24;50;37;13;36;5;2
10/1/2023 09:33:23;34;25;13;6;4;18;31;27;11;28;5;3
10/1/2023 09:34:23;48;29;16;8;3;20;40;31;13;31;6;2
10/1/2023 09:35:23;93;35;17;8;3;26;66;41;15;39;6;3
10/1/2023 09:36:23;57;33;19;8;3;25;47;36;16;35;6;2
10/1/2023 09:37:23;71;33;17;8;3;24;54;38;14;36;6;2
10/1/2023 09:38:23;101;39;20;8;3;30;121;46;17;44;6;2
10/1/2023 09:39:23;61;36;19;9;3;27;50;39;17;40;7;2
10/1/2023 09:40:23;66;35;20;9;3;25;99;37;17;36;7;3
10/1/2023 09:41:23;55;39;22;9;4;29;49;42;19;42;7;3
10/1/2023 09:42:23;88;45;24;10;4;35;69;51;20;49;8;3
10/1/2023 09:43:23;96;35;18;8;3;27;117;42;16;39;6;2
10/1/2023 09:44:23;46;28;12;5;3;22;41;33;10;33;4;2
10/1/2023 09:45:23;144;29;15;7;3;21;68;31;13;31;5;2
10/1/2023 09:46:23;38;29;18;8;3;20;33;29;15;29;6;2
10/1/2023 09:47:23;26;20;14;6;3;13;22;20;12;20;5;2
10/1/2023 09:48:23;31;21;12;6;3;15;28;23;10;23;4;2
10/1/2023 09:49:23;51;31;15;6;2;24;45;36;13;35;5;2
10/1/2023 09:50:23;104;23;12;6;3;17;62;30;11;26;4;2
10/1/2023 09:51:23;50;27;14;6;3;21;39;29;12;29;5;2
10/1/2023 09:52:23;129;32;18;8;3;24;74;36;15;34;6;2
10/1/2023 09:53:23;67;29;14;6;3;22;51;35;12;33;5;2
10/1/2023 09:54:23;82;27;16;7;3;19;49;28;14;28;6;2
10/1/2023 09:55:23;35;26;15;7;3;19;31;27;13;27;5;2
10/1/2023 09:56:23;71;43;24;11;3;32;59;46;20;45;8;2
10/1/2023 09:57:23;92;47;22;10;4;36;75;55;19;53;8;3
10/1/2023 09:58:23;37;27;17;8;3;19;33;28;14;27;6;2
10/1/2023 09:59:23;56;25;14;6;3;18;43;29;12;26;5;2
10/1/2023 10:00:23;33;28;17;8;3;20;31;28;14;29;6;2
10/1/2023 10:01:23;45;35;20;8;3;26;40;35;16;36;6;2
10/1/2023 10:02:23;49;25;13;6;2;18;39;28;11;26;4;2
10/1/2023 10:03:23;46;25;14;6;2;18;38;28;11;27;5;2
10/1/2023 10:04:23;35;27;13;6;2;20;33;29;11;30;5;2
10/1/2023 10:05:23;58;27;15;6;2;21;43;30;12;29;5;2
10/1/2023 10:06:23;63;25;12;5;2;20;48;32;10;29;4;2
10/1/2023 10:07:23;58;27;15;7;3;20;46;32;13;30;5;2
10/1/2023 10:08:23;38;25;13;6;2;18;34;28;11;27;5;2
10/1/2023 10:09:23;161;28;15;6;2;21;76;32;13;30;5;2
10/1/2023 10:10:23;265;37;18;7;2;29;125;45;16;41;5;2
10/1/2023 10:11:23;279;36;16;7;2;29;130;45;14;42;5;2
10/1/2023 10:12:23;180;45;18;6;2;38;170;65;16;55;5;2
10/1/2023 10:13:23;82;40;20;9;3;31;67;49;17;45;7;2
10/1/2023 10:14:23;48;29;15;7;2;22;41;33;13;31;5;2
10/1/2023 10:15:23;120;31;16;7;2;24;72;37;13;34;5;2
10/1/2023 10:16:23;140;27;15;7;2;19;63;28;13;27;5;2
