Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
7/1/2023 06:52:04;335;40;20;11;4;28;164;49;17;44;8;3
7/1/2023 06:52:10;32;31;21;10;4;21;29;28;17;29;8;3
7/1/2023 06:52:16;78;53;26;11;4;42;70;59;22;60;8;3
7/1/2023 06:52:22;600;43;24;9;4;33;265;58;20;46;7;3
7/1/2023 06:52:28;114;28;15;7;4;21;76;39;13;31;5;3
7/1/2023 06:52:34;1094;43;22;9;4;33;369;54;19;47;7;3
7/1/2023 06:52:40;112;48;23;12;4;36;89;62;20;54;9;3
7/1/2023 06:52:46;86;41;22;9;4;31;70;51;20;45;7;3
7/1/2023 06:52:52;75;47;22;10;4;36;66;54;19;53;8;3
7/1/2023 06:52:58;240;43;22;9;4;33;144;63;20;48;7;3
7/1/2023 06:53:04;69;44;18;9;4;35;63;51;16;52;7;3
7/1/2023 06:53:10;57;42;17;7;3;35;58;50;16;52;5;3
7/1/2023 06:53:16;80;54;28;11;4;43;71;59;24;58;8;3
7/1/2023 06:53:22;128;57;28;13;4;44;103;72;24;65;10;3
7/1/2023 06:53:28;79;35;22;11;4;23;61;42;18;35;8;3
7/1/2023 06:53:34;41;39;25;11;4;27;39;37;21;39;9;3
7/1/2023 06:53:40;50;42;20;9;4;32;52;47;19;49;7;3
7/1/2023 06:53:46;385;74;25;8;4;65;217;93;23;91;6;3
7/1/2023 06:53:52;103;53;29;12;4;41;85;64;25;58;9;3
7/1/2023 06:53:58;52;34;20;10;4;24;46;38;18;36;7;3
7/1/2023 06:54:04;250;53;18;11;5;42;171;87;17;70;8;4
7/1/2023 06:54:10;185;70;25;10;4;59;145;94;24;87;7;3
7/1/2023 06:54:16;150;59;29;12;4;46;111;71;25;66;9;3
7/1/2023 06:54:22;129;52;21;11;5;41;103;70;18;62;9;4
7/1/2023 06:54:28;95;52;27;13;4;38;81;63;24;58;10;3
7/1/2023 06:54:34;68;53;23;10;4;43;67;59;21;61;8;3
7/1/2023 06:54:40;196;48;30;11;4;36;118;57;27;50;9;3
7/1/2023 06:54:46;150;61;28;11;4;49;116;77;27;71;9;3
7/1/2023 06:54:52;93;45;30;13;4;31;72;52;25;44;10;3
7/1/2023 06:54:58;146;67;25;10;4;57;123;89;23;82;8;3
7/1/2023 06:55:04;210;43;25;11;4;31;129;57;20;42;9;3
7/1/2023 06:55:10;130;60;29;13;4;46;105;75;24;67;10;3
7/1/2023 06:55:16;53;49;27;11;5;37;52;49;23;51;9;4
7/1/2023 06:55:22;438;56;26;11;5;44;232;79;23;65;9;4
7/1/2023 06:55:28;124;54;29;12;4;42;96;66;23;58;9;3
7/1/2023 06:55:34;180;71;33;16;5;55;134;86;28;82;12;4
7/1/2023 06:55:40;89;71;34;17;7;53;86;76;29;81;13;5
7/1/2023 06:55:46;74;64;37;15;5;49;71;66;31;69;12;4
7/1/2023 06:55:52;885;58;23;10;6;47;395;82;22;70;8;5
7/1/2023 06:55:58;144;47;30;15;5;31;99;57;25;47;11;4
7/1/2023 06:56:04;68;52;27;13;5;39;62;54;23;57;10;4
7/1/2023 06:56:10;109;64;30;14;5;50;96;76;26;73;10;4
7/1/2023 06:56:16;72;46;26;12;4;33;60;49;21;48;9;3
7/1/2023 06:56:22;128;59;28;13;5;45;106;76;25;68;10;4
7/1/2023 06:56:28;74;64;35;15;5;49;73;67;30;70;11;4
7/1/2023 06:56:34;219;48;17;7;4;41;147;73;16;61;6;3
7/1/2023 06:56:40;58;49;26;12;4;36;57;52;22;54;9;3
7/1/2023 06:56:46;380;60;26;11;4;49;220;86;24;72;8;3
7/1/2023 06:56:52;568;55;20;10;4;45;260;70;20;71;7;3
7/1/2023 06:56:58;132;52;35;14;4;37;94;59;30;52;11;3
7/1/2023 06:57:04;208;59;27;11;4;48;147;84;24;67;8;3
7/1/2023 06:57:10;41;34;22;11;4;23;37;34;18;34;9;3
7/1/2023 06:57:16;184;52;25;11;5;41;130;74;22;60;8;4
7/1/2023 06:57:22;68;42;21;10;4;31;60;48;18;47;8;3
7/1/2023 06:57:28;257;48;27;12;5;36;157;71;24;53;9;4
7/1/2023 06:57:34;76;60;31;16;5;44;72;64;26;67;12;4
7/1/2023 06:57:40;120;35;24;12;5;23;78;42;20;34;9;4
7/1/2023 06:57:46;67;53;31;14;5;38;60;53;25;55;11;4
7/1/2023 06:57:52;51;48;29;13;5;34;49;46;24;48;10;4
7/1/2023 06:57:58;49;41;26;13;4;28;44;40;22;42;10;4
7/1/2023 06:58:04;330;53;21;8;4;45;201;86;19;65;6;3
7/1/2023 06:58:10;108;41;22;11;4;30;82;54;18;44;8;3
7/1/2023 06:58:16;57;31;10;7;5;24;54;42;10;41;5;4
7/1/2023 06:58:22;1105;60;37;16;4;43;377;64;30;60;12;4
7/1/2023 06:58:28;555;75;19;7;5;67;304;111;19;100;6;4
7/1/2023 06:58:34;47;39;20;9;4;30;49;45;18;46;7;3
7/1/2023 06:58:40;82;55;26;11;5;43;74;61;23;61;9;4
7/1/2023 06:58:46;127;48;26;12;4;35;97;64;22;52;9;3
7/1/2023 06:58:52;151;29;17;8;5;21;100;49;16;33;6;4
7/1/2023 06:58:58;145;68;24;10;5;58;128;94;24;87;8;4
7/1/2023 06:59:04;194;86;38;17;6;68;153;105;33;101;13;4
7/1/2023 06:59:10;59;50;25;9;5;41;60;55;22;57;7;4
7/1/2023 06:59:16;162;57;30;14;4;43;119;74;26;64;11;3
7/1/2023 06:59:22;128;70;32;14;5;55;106;81;26;78;11;4
7/1/2023 06:59:28;81;66;37;17;5;49;74;67;31;69;13;4
7/1/2023 06:59:34;248;79;45;18;6;61;160;89;38;81;13;5
7/1/2023 06:59:40;172;105;48;21;7;84;151;121;40;120;16;5
7/1/2023 06:59:46;67;58;33;14;5;43;63;58;27;60;11;4
7/1/2023 06:59:52;247;50;33;16;5;34;146;65;27;49;12;4
7/1/2023 06:59:58;100;64;28;12;4;51;91;74;24;75;9;3
7/1/2023 07:00:04;127;41;27;11;5;30;84;48;22;40;8;4
7/1/2023 07:00:10;238;57;29;13;5;43;155;78;25;61;10;4
7/1/2023 07:00:16;80;60;28;13;5;46;75;65;25;67;10;4
7/1/2023 07:00:22;365;61;34;16;5;45;189;70;27;64;12;4
7/1/2023 07:00:28;319;36;19;9;4;26;154;44;17;39;7;3
7/1/2023 07:00:34;79;53;25;11;5;41;72;60;22;59;8;4
7/1/2023 07:00:40;48;44;24;10;4;34;48;46;22;48;8;3
7/1/2023 07:00:46;498;52;27;12;5;40;257;77;23;57;9;4
7/1/2023 07:00:52;192;37;22;10;4;27;111;48;20;40;7;3
7/1/2023 07:00:58;320;39;16;6;4;33;162;52;16;50;5;3
7/1/2023 07:01:04;135;41;17;9;4;32;103;64;16;50;7;3
7/1/2023 07:01:10;96;52;34;13;4;39;76;58;28;51;10;3
7/1/2023 07:01:16;119;58;28;11;4;46;100;74;25;68;9;3
7/1/2023 07:01:22;340;53;20;8;4;44;214;92;18;63;6;3
7/1/2023 07:01:28;97;42;24;12;4;30;76;53;20;45;9;3
7/1/2023 07:01:34;1065;38;21;9;4;29;346;41;17;39;7;3
7/1/2023 07:01:40;85;43;23;11;5;32;69;51;19;46;8;4
7/1/2023 07:01:46;69;44;27;13;4;31;57;46;21;44;10;3
7/1/2023 07:01:52;41;38;25;12;4;26;35;34;20;35;9;3
7/1/2023 07:01:58;278;51;23;11;4;40;170;77;19;59;8;3
7/1/2023 07:02:04;50;48;30;12;4;35;47;45;25;47;9;3
7/1/2023 07:02:10;37;36;24;10;4;25;34;33;20;34;8;3
7/1/2023 07:02:16;95;53;33;16;4;37;560;57;27;53;12;3
7/1/2023 07:02:22;71;29;17;7;4;22;55;38;15;30;5;3
7/1/2023 07:02:28;126;45;26;11;4;33;89;54;22;47;8;3
7/1/2023 07:02:34;93;59;29;14;4;45;82;67;25;67;10;3
7/1/2023 07:02:40;450;45;26;11;5;34;230;69;22;48;9;4
7/1/2023 07:02:46;81;37;18;8;4;29;69;50;17;44;6;3
7/1/2023 07:02:52;50;31;9;6;4;25;48;39;9;41;4;3
7/1/2023 07:02:58;63;44;29;14;4;30;53;45;24;43;10;3
7/1/2023 07:03:04;293;56;31;14;4;41;173;73;26;59;11;3
7/1/2023 07:03:10;60;47;25;10;4;36;58;52;22;53;8;3
7/1/2023 07:03:16;260;35;22;10;4;24;148;56;17;34;8;3
7/1/2023 07:03:22;73;51;30;13;4;38;64;54;25;54;10;3
7/1/2023 07:03:28;67;47;27;12;5;35;59;50;22;49;9;4
7/1/2023 07:03:34;98;81;37;13;6;67;98;88;32;93;10;4
7/1/2023 07:03:40;113;32;16;10;6;21;80;44;15;38;8;5
7/1/2023 07:03:46;57;49;26;10;5;38;57;52;23;54;8;4
7/1/2023 07:03:52;165;49;24;12;5;36;114;64;20;54;9;4
7/1/2023 07:03:58;40;37;25;12;5;25;37;35;20;37;9;4
7/1/2023 07:04:04;117;34;16;10;6;23;82;45;15;39;8;4
7/1/2023 07:04:10;168;45;22;11;5;34;119;65;20;52;8;4
7/1/2023 07:04:16;101;47;23;11;5;35;81;59;20;51;8;4
7/1/2023 07:04:22;57;47;24;11;5;35;56;51;21;53;8;4
7/1/2023 07:04:28;55;39;15;6;4;33;53;45;13;48;5;3
7/1/2023 07:04:34;450;41;25;13;5;28;226;64;20;42;10;4
7/1/2023 07:04:40;52;50;34;15;5;35;47;45;28;47;11;4
