Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
10-01-2023 7:43;42;35;21;11;4;24;39;35;17;36;8;3
10-01-2023 7:43;237;40;22;10;4;30;140;58;19;43;7;3
10-01-2023 7:43;32;30;17;7;4;23;31;29;14;31;5;3
10-01-2023 7:43;56;38;20;9;4;29;51;43;18;41;7;3
10-01-2023 7:43;313;35;19;8;4;26;150;41;17;37;6;3
10-01-2023 7:43;26;26;18;8;3;18;24;24;16;24;6;3
10-01-2023 7:43;41;37;20;8;4;29;40;37;17;40;6;3
10-01-2023 7:43;1444;1427;1248;524;21;902;1099;1089;936;1096;392;16
10-01-2023 7:43;71;29;22;10;4;19;51;34;18;26;7;3
10-01-2023 7:44;21;21;17;9;4;12;18;18;13;18;7;3
10-01-2023 7:44;17;17;13;7;4;9;15;15;10;15;5;3
10-01-2023 7:44;45;35;19;10;4;25;41;36;16;38;7;3
10-01-2023 7:44;87;38;24;9;4;28;64;44;19;37;7;3
10-01-2023 7:44;187;37;24;11;4;26;104;43;20;36;8;3
10-01-2023 7:44;61;40;23;11;4;29;51;41;18;40;8;3
10-01-2023 7:44;130;28;16;8;4;20;568;39;14;29;6;3
10-01-2023 7:44;151;30;21;10;4;19;95;45;17;28;8;3
